@English@|@Kott@
@trees@|@ag, agan, ax@
@trousers@|@alang@
@twenrty@|@intuk@
@twice@|@-fa, -pa, ïn-fa, ïn-pa@
@twirling@|@anäful, anful, ölafülang, önafülang, šiful@
@two@|@ina, ïna, incha, ine, inee, inéje, yna, ynä@
@uncle@|@hai, hajan@
@unripe@|@thu@
@up along the stream@|@ujä@
@wagtail@|@chichaba, chichipa, chichipan@
@waiting@|@suföt@
@war@|@hali@
@warning@|@hukaichei@
@was@|@hichoga@
@washing@|@ur-ki@
@water@|@ul, ül@
@wave@|@en, ën, ënang@
@way@|@itik@
@we@|@ajun@
@wedge@|@kaltap-anang, kaltap-en@
@wetly@|@urá, uran, urtu@
@what@|@bilituise, šena, šina, šinai@
@what for@|@balomacan@
@whence@|@bilchang@
@where@|@bili@
@whetting@|@šichal@
@which@|@ašix, balomas, biläng, biläng, bilomaca, bilomas@
@white@|@tegama, thégam, thékam, tiekama@
@white-fish@|@althai, althájan, altháján@
@wholly@|@ütam, üti@
@wife@|@alit@
@wild animal@|@-ša, -šïn, achangši, achánše, šelä, šele, šele, šeli, šetn@
@wild onion@|@hagá, hagán@
@willow@|@tïlangan, tïle, tïli@
@wind@|@bej, ja-pej, pëi, pej@
@winding@|@fachagar@
@window@|@tamú, tamuk, tamünang, tuma@
@wing@|@keang, kei, kej, ken@
@winter@|@këtän, këtang, kete, këti, këtï, tonog@
@witchcraft@|@šënang@
@without@|@-fun, -phun@
@wolverine@|@feštap, fëštap, fëštapan, fëštapang, pestáp, pheštap@
@woman@|@alat, alit, alït, alitn, alïtn@
@wonder@|@alpeš@
@wood@|@ag, ax, farán, faránang, pharan@
@woodcock@|@fëncera, fëncerá, fëncerai, fëncetn, phëncera, phëncerá, phëncerai, phëncetn@
@word@|@khëg, xëg, xëgan@
@worm@|@hoi, hon@
@wound@|@šei@
@wounding@|@šeipi@
@writing@|@eangöx@
@yarn@|@hi-tafui@
@yawning@|@honang@
@year@|@šëga@
@yellow@|@šui@
@yesterday@|@honchig, xónži@
@you become@|@d-ä-u@
@you stand@|@jatyxu@

